"filename", "language", "JSON", "JSON with Comments", "Less", "TypeScript", "HTML", "Markdown", "CSS", "JavaScript", "YAML", "comment", "blank", "total"
"d:\do-an-tot-nghiep\DATN\.gitlab-ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 32, 11, 5, 48
"d:\do-an-tot-nghiep\DATN\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 5, 15
"d:\do-an-tot-nghiep\DATN\angular.json", "JSON", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 126
"d:\do-an-tot-nghiep\DATN\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 37, 0, 6, 2, 45
"d:\do-an-tot-nghiep\DATN\package-lock.json", "JSON", 13989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13990
"d:\do-an-tot-nghiep\DATN\package.json", "JSON", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78
"d:\do-an-tot-nghiep\DATN\src\_app-layout.less", "Less", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 8, 65
"d:\do-an-tot-nghiep\DATN\src\app\_guards\authGuard.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 4, 19
"d:\do-an-tot-nghiep\DATN\src\app\_guards\authInterceptor.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 3, 17, 102
"d:\do-an-tot-nghiep\DATN\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 3, 44
"d:\do-an-tot-nghiep\DATN\src\app\app.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\do-an-tot-nghiep\DATN\src\app\app.component.less", "Less", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\do-an-tot-nghiep\DATN\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"d:\do-an-tot-nghiep\DATN\src\app\app.component.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
