Date : 2024-06-30 16:47:04
Directory : d:\do-an-tot-nghiep\DATN
Total : 266 files,  35047 codes, 760 comments, 2211 blanks, all 38018 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     14,805 |          2 |          7 |     14,814 |
| TypeScript         |        146 |     10,589 |        316 |      1,400 |     12,305 |
| HTML               |         55 |      5,805 |        252 |        316 |      6,373 |
| Less               |         50 |      3,556 |        172 |        452 |      4,180 |
| CSS                |          4 |        180 |          0 |         23 |        203 |
| JavaScript         |          1 |         37 |          6 |          2 |         45 |
| JSON with Comments |          1 |         33 |          1 |          1 |         35 |
| YAML               |          1 |         32 |         11 |          5 |         48 |
| Markdown           |          1 |         10 |          0 |          5 |         15 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        266 |     35,047 |        760 |      2,211 |     38,018 |
| . (Files)                                                                                                |          9 |     14,334 |         20 |         18 |     14,372 |
| src                                                                                                      |        257 |     20,713 |        740 |      2,193 |     23,646 |
| src (Files)                                                                                              |          7 |        270 |         72 |         71 |        413 |
| src\app                                                                                                  |        245 |     19,840 |        650 |      2,116 |     22,606 |
| src\app (Files)                                                                                          |          8 |        183 |          1 |         28 |        212 |
| src\app\_guards                                                                                          |          2 |         95 |          5 |         21 |        121 |
| src\app\authentication                                                                                   |         10 |        866 |         49 |         62 |        977 |
| src\app\authentication (Files)                                                                           |          2 |         57 |          0 |          7 |         64 |
| src\app\authentication\login                                                                             |          4 |        370 |         26 |         29 |        425 |
| src\app\authentication\signup                                                                            |          4 |        439 |         23 |         26 |        488 |
| src\app\configs                                                                                          |          2 |         23 |         11 |          6 |         40 |
| src\app\layout                                                                                           |          4 |         52 |         21 |         19 |         92 |
| src\app\models                                                                                           |          2 |         17 |          0 |          0 |         17 |
| src\app\pages                                                                                            |        106 |     14,817 |        506 |      1,545 |     16,868 |
| src\app\pages (Files)                                                                                    |          2 |        341 |          0 |          7 |        348 |
| src\app\pages\admin                                                                                      |         20 |      3,813 |         98 |        381 |      4,292 |
| src\app\pages\admin\check-course                                                                         |          4 |      1,149 |         34 |        118 |      1,301 |
| src\app\pages\admin\check-lesson                                                                         |          4 |      1,006 |         22 |         99 |      1,127 |
| src\app\pages\admin\course-manage                                                                        |          4 |        493 |         13 |         59 |        565 |
| src\app\pages\admin\request-course                                                                       |          4 |        428 |         12 |         51 |        491 |
| src\app\pages\admin\user-manage                                                                          |          4 |        737 |         17 |         54 |        808 |
| src\app\pages\layout-user                                                                                |          4 |        648 |         48 |         78 |        774 |
| src\app\pages\teacher                                                                                    |         24 |      3,653 |        170 |        376 |      4,199 |
| src\app\pages\teacher\course-manager                                                                     |          4 |        196 |          0 |         26 |        222 |
| src\app\pages\teacher\edit-course                                                                        |          4 |      1,186 |         25 |        120 |      1,331 |
| src\app\pages\teacher\edit-lesson                                                                        |          4 |         27 |          0 |         11 |         38 |
| src\app\pages\teacher\new-course                                                                         |          4 |      1,180 |        116 |        106 |      1,402 |
| src\app\pages\teacher\reels                                                                              |          4 |        485 |         12 |         56 |        553 |
| src\app\pages\teacher\student-manager                                                                    |          4 |        579 |         17 |         57 |        653 |
| src\app\pages\user                                                                                       |         56 |      6,362 |        190 |        703 |      7,255 |
| src\app\pages\user\buy-course                                                                            |          4 |        941 |          9 |         84 |      1,034 |
| src\app\pages\user\chat                                                                                  |          4 |        616 |         57 |         41 |        714 |
| src\app\pages\user\course                                                                                |         20 |      3,115 |         64 |        361 |      3,540 |
| src\app\pages\user\course\detail-course                                                                  |          4 |      1,041 |         34 |        115 |      1,190 |
| src\app\pages\user\course\learning-course                                                                |          4 |      1,028 |         22 |        102 |      1,152 |
| src\app\pages\user\course\list-course                                                                    |          8 |        640 |          8 |         87 |        735 |
| src\app\pages\user\course\list-course (Files)                                                            |          4 |        600 |          8 |         76 |        684 |
| src\app\pages\user\course\list-course\directives                                                         |          4 |         40 |          0 |         11 |         51 |
| src\app\pages\user\course\quiz                                                                           |          4 |        406 |          0 |         57 |        463 |
| src\app\pages\user\file-manage                                                                           |          4 |        281 |          3 |         23 |        307 |
| src\app\pages\user\home-page                                                                             |          4 |        342 |         23 |         48 |        413 |
| src\app\pages\user\message                                                                               |          4 |         86 |          0 |         15 |        101 |
| src\app\pages\user\my-calendar                                                                           |          4 |        355 |         12 |         54 |        421 |
| src\app\pages\user\profile                                                                               |          4 |        281 |          0 |         19 |        300 |
| src\app\pages\user\videos                                                                                |          8 |        345 |         22 |         58 |        425 |
| src\app\pages\user\videos\list-videos                                                                    |          4 |        173 |          1 |         30 |        204 |
| src\app\pages\user\videos\watch-video                                                                    |          4 |        172 |         21 |         28 |        221 |
| src\app\service                                                                                          |         11 |        520 |         25 |        105 |        650 |
| src\app\service\authentication                                                                           |          2 |         96 |          3 |         20 |        119 |
| src\app\service\chat-service                                                                             |          3 |         50 |          0 |         12 |         62 |
| src\app\service\course-service                                                                           |          2 |        221 |          1 |         36 |        258 |
| src\app\service\upload-service                                                                           |          2 |         34 |         14 |         12 |         60 |
| src\app\service\user-service                                                                             |          2 |        119 |          7 |         25 |        151 |
| src\app\shared                                                                                           |        100 |      3,267 |         32 |        330 |      3,629 |
| src\app\shared\components                                                                                |         90 |      1,688 |         32 |        292 |      2,012 |
| src\app\shared\components (Files)                                                                        |          1 |        123 |          0 |          3 |        126 |
| src\app\shared\components\breadcrumb                                                                     |          4 |         95 |          7 |         21 |        123 |
| src\app\shared\components\button                                                                         |          4 |         70 |          0 |         11 |         81 |
| src\app\shared\components\checked-icon                                                                   |          4 |         59 |          0 |         11 |         70 |
| src\app\shared\components\empty                                                                          |          3 |         28 |          0 |         10 |         38 |
| src\app\shared\components\file-info                                                                      |          4 |         86 |          0 |         11 |         97 |
| src\app\shared\components\footer                                                                         |          4 |        290 |          7 |         26 |        323 |
| src\app\shared\components\header                                                                         |          4 |         43 |          0 |         10 |         53 |
| src\app\shared\components\icon-files                                                                     |         16 |        244 |          0 |         41 |        285 |
| src\app\shared\components\icon-files\doc-file                                                            |          4 |         66 |          0 |         10 |         76 |
| src\app\shared\components\icon-files\exel-file                                                           |          4 |         66 |          0 |         10 |         76 |
| src\app\shared\components\icon-files\none-file                                                           |          4 |         46 |          0 |         11 |         57 |
| src\app\shared\components\icon-files\pdf-file                                                            |          4 |         66 |          0 |         10 |         76 |
| src\app\shared\components\info-text                                                                      |          4 |         35 |          0 |         13 |         48 |
| src\app\shared\components\input-text                                                                     |          4 |         27 |          0 |         10 |         37 |
| src\app\shared\components\loading                                                                        |          4 |         46 |          0 |         13 |         59 |
| src\app\shared\components\message-icon                                                                   |          4 |         61 |          0 |         15 |         76 |
| src\app\shared\components\no-result                                                                      |          4 |        103 |          8 |         20 |        131 |
